grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
6421200,6,21,AA,RUNKAMPEN,NL,51.68,5.38,750,4,1978,1985,8,1.916495551,1978,1982,5,0,1978,1985,8,6.683,6.683,6.683
6935220,6,35,AACH,SALMSACH (HUNGERBUEHL),CH,47.5504,9.3572,48.5,452.153,1961,2016,56,0,,,,,1961,2016,56,0.754,0.754,0.754
6935020,6,35,AARE,BERN-SCHOENAU,CH,46.9331,7.448,2945,551.66,1917,2016,100,0,1961,1993,33,0,1917,2016,100,122.19,122.19,122.19
6935300,6,35,AARE,"UNTERSIGGENTHAL, STILLI",CH,47.5166,8.2348,17601,373.41,1904,2016,113,0,1961,1993,33,0,1904,2016,113,558.224,558.224,558.224
6935301,6,35,AARE,BRUGG,CH,47.4825,8.1949,11726,379.54,1916,2016,101,0,,,,,1916,2016,101,314.091,314.091,314.091
6935302,6,35,AARE,MURGENTHAL,CH,47.2666,7.8306,10119,447.454,1916,2016,101,0,,,,,1916,2016,101,285.763,285.763,285.763
5985200,5,85,AASU STREAM,"AASU, TUTUILA",AS,-14.28,-170.75,2.6,2,1982,1983,2,0,,,,,1982,1983,2,n.a.,n.a.,n.a.
1926550,1,26,"ABADE, RIO",BOMBAIM,ST,0.25,6.65,11.8,500,,,,,1980,1989,10,11.30434783,1980,1989,10,0.096,0.096,0.096
1926800,1,26,"ABADE, RIO",AGUA-IZE,ST,0.23,6.73,36.5,58,1988,1989,2,0,1980,1989,10,18.10344828,1980,1989,10,0.92,0.92,0.92
1258150,1,58,ABA-HUAB,ROOIBERG (64735002),,-20.477,14.588,1570,740,1974,2018,45,6.951265584,,,,,1974,2018,45,0.115,0.115,0.115
2909260,2,9,ABAKAN,RAYKOV,RU,53.58,91.25,31300,-999,,,,,1953,2015,63,6.425702811,1953,2015,63,393.653,393.653,393.653
2909261,2,9,ABAKAN,ABAZA,RU,52.65,90.1,14400,-999,,,,,1932,1999,68,6.37254902,1932,1999,68,307.186,307.186,307.186
2909262,2,9,ABAKAN,UST'-KIZAS,RU,52.5,89.25,8300,-999,,,,,1966,1970,5,6,1966,1970,5,226.009,226.009,226.009
2908036,2,8,ABAN,ABAN,RU,56.7,96.03,325,-999,,,,,1978,1988,11,1.550387597,1978,1988,11,0.789,0.789,0.789
2587230,2,87,ABASHIRI GAWA,HONGO,JP,43.895,144.136667,1120.4,-999,1993,2003,11,27.28404282,1993,1998,6,0,1993,2003,11,20.168,20.168,20.168
3274030,3,74,"ABAUCAN, RIO",TINOGASTA,AR,-28.08,-67.58,14000,1200,,,,,1919,1956,38,0,1919,1956,38,2.543,2.543,2.543
6373050,6,73,ABAVA,RENDA,LV,57.2,27.05,1830,19,1986,1995,10,50,,,,,1986,1995,10,14.636,14.636,14.636
2910487,2,10,ABAY,ABAY,RU,50.43,85.08,726,-999,,,,,1963,1994,32,1.837270341,1963,1994,32,3.317,3.317,3.317
2588900,2,88,ABE KAWA,TEGOSHI,JP,34.96,138.37,537.3,-999,1993,2003,11,11.72516804,1993,2000,8,7.291666667,1993,2003,11,25.7,25.7,25.7
5204120,5,4,ABERCROMBIE RIVER,HADLEY NO.2,AU,-34.1139,149.5967,1629.7,584,1960,2011,52,1.181668175,1960,2000,41,0.621118012,1960,2011,52,5.36,5.36,5.36
5204121,5,4,ABERCROMBIE RIVER,ABERCROMBIE,AU,-33.9567,149.3233,2630.7,426,1930,2011,82,0.737258615,,,,,1930,2011,82,8.485,8.485,8.485
1309550,1,9,"ABID, OUED EL",AIT OUCHENE,MA,32.25,-6.08,2350,1070,,,,,1980,1984,5,0,1980,1984,5,3.034,3.034,3.034
6232100,6,32,ABISKOJAKKA,NEDRE ABISKOJOKKA,SE,68.36,18.81,3294,341,1918,1998,81,0,1918,1998,81,0,1918,1998,81,62.936,62.936,62.936
6232101,6,32,ABISKOJAKKA,ABISKO,SE,68.35,18.82,3345.5,-999,1918,2019,102,0.043351035,1984,2018,35,0,1918,2019,102,63.531,63.531,63.531
6232916,6,32,ABISKOJAKKA,OVRE ABISKOJOKKA,SE,68.36,18.78,566.3,-999,1985,2018,34,0,1985,2018,34,0,1985,2018,34,14.355,14.355,14.355
4208433,4,8,ABITAU RIVER,ABOVE CUMING LAKE,CA,59.999443,-108.77333,3780,-999,1988,2017,30,56.04599407,1988,1993,6,0,1988,2017,30,16.617,16.617,16.617
4214515,4,14,ABITIBI RIVER,ABITIBI CANYON,CA,49.8819,-81.5667,22900,-999,1929,1994,66,3.675,,,,,1929,1994,66,300.342,300.342,300.342
4214555,4,14,ABITIBI RIVER,ONAKAWANA,CA,50.6,-81.41,27500,-999,1959,2017,59,17.15990229,,,,,1959,2017,59,388.802,388.802,388.802
6342081,6,42,ABLACH,MENNINGEN,DE,48.01,9.16,199.6,592.6,1952,2016,65,0.739095142,,,,,1952,2016,65,1.366,1.366,1.366
2311523,2,11,ABLAKETKA,BASOVA,KZ,49.88,82.73,1680,-999,,,,,1962,1982,21,0.81300813,1962,1982,21,4.845,4.845,4.845
6731187,6,31,ABOGSTJONNBEKKEN,ABOGSTJONN NDF,NO,59.06,8.3,1.1,620,1973,1997,25,0,,,,,1973,1997,25,0.03,0.03,0.03
5654140,5,54,ABRA RIVER,"BUMAGCAT,TAYUM",PH,17.62,120.73,2575,16,1983,1988,6,3.387978142,1984,1988,5,3.333333333,1983,1988,6,234.019,234.019,234.019
2588650,2,88,ABUKUMA GAWA,IWANUMA,JP,38.09,140.87,5265,-999,1986,1986,1,0,1986,1986,1,0,1986,1986,1,151.748,151.748,151.748
2588651,2,88,ABUKUMA GAWA,TATEYAMA,JP,37.923056,140.756944,4132.5,-999,1993,2003,11,0.149365198,1993,2000,8,0,1993,2003,11,124.82,124.82,124.82
2588652,2,88,ABUKUMA GAWA,FUSHIGURO,JP,37.825556,140.524167,3663.4,-999,1993,2003,11,1.194921583,1993,2000,8,0,1993,2003,11,106.504,106.504,106.504
2588653,2,88,ABUKUMA GAWA,MOTOMIYA,JP,37.512222,140.409444,2283.5,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,64.769,64.769,64.769
2588654,2,88,ABUKUMA GAWA,SUKAGAWA,JP,37.297778,140.393333,910.2,-999,1993,2003,11,0,1993,2000,8,0,1993,2003,11,25.575,25.575,25.575
3627060,3,27,"ABUNA, RIO",MORADA NOVA-JUSANTE,BR,-9.7847,-65.5275,31000,-999,1988,2006,19,5.031172974,,,,,1988,2006,19,647.648,647.648,647.648
4356050,4,56,ACAPONETA,ACAPONETA,MX,22.4833,-105.325,5092,31,1945,2002,58,0,1976,1979,4,0,1945,2002,58,42.448,42.448,42.448
3650525,3,50,"ACARAU, RIO",SOBRAL,BR,-3.68,-40.35,11160,-999,1911,1962,52,18.29499323,1911,1999,89,25.401322,1911,1999,89,55.484,55.484,55.484
3650526,3,50,"ACARAU, RIO",FAZENDA CAJAZEIRAS,BR,-4.3775,-40.5492,1550,190,1962,2009,48,0.4048583,1962,1993,32,0.789473684,1962,2009,48,7.008,7.008,7.008
3627900,3,27,"ACARI, RIO",ACARI BR-230,BR,-7.1014,-59.6833,4970,-999,1984,2010,27,12.5735145,,,,,1984,2010,27,192.719,192.719,192.719
4208175,4,8,ACASTA RIVER,ABOVE LITTLE CRAPEAU LAKE,CA,64.875557,-116.14167,2280,-999,1980,1994,15,0,1980,1993,14,0,1980,1994,15,11.731,11.731,11.731
3206100,3,6,"ACEQUIA, RIO",PUENTE LA ACEQUIA,VE,8.39,-70.68,478,180,1978,1988,11,0,1978,1988,11,0,1978,1988,11,47.295,47.295,47.295
6261150,6,61,ACHELOOS POTAMOS,AYIOS NIKOLAOS (KREMASTA),GR,38.883335,21.566668,-999,-999,,,,,1973,1975,3,0,1973,1975,3,109.023,109.023,109.023
6261200,6,61,ACHELOOS POTAMOS,AVLAKION,GR,39.1575,21.385,1349,304,1978,1980,3,0.091240876,1977,1991,15,0,1977,1991,15,66.842,66.842,66.842
6335570,6,35,ACHER,KAPPELRODECK,DE,48.584384,8.125898,53.4,-999,1971,2016,46,0,,,,,1971,2016,46,2.063,2.063,2.063
5304090,5,4,ACHERON RIVER,TAGGERTY,AU,-37.3233,145.71,629.4,207,1951,2011,61,0,,,,,1951,2011,61,9.757,9.757,9.757
6233460,6,33,ACKLINGEN,AECKLINGEN,SE,63.73,13.01,155.8,-999,1938,2019,82,0,1938,2018,81,0,1938,2019,82,6.386,6.386,6.386
