Basin_name,ID,RGI_dir,continent,suitable,llc_lon,llc_lat,urc_lon,urc_lat,grdc_no1,station_lon1,station_lat1,GSIM_name,GRDC_name,center_lon,center_lat,GRDC_stationname,Unnamed: 20,glac_sink_lon,glac_sink_lat,pct_spilled,glac_degree
INDUS,1,RGI14_SouthAsiaWest,as,n,65.0,23.0,83.0,38.0,,72.70666700000002,34.091033,NAN,INDUS RIVER,74,31.0,,,,,,2.37
TARIM,2,RGI13_CentralAsia,as,n,72.0,33.0,94.0,44.0,,,,NAN,NAN,81,37.0,,,,,,2.34
BRAHMAPUTRA,3,RGI15_SouthAsiaEast,as,n,72.0,21.0,99.0,32.0,,,,BRAHMAPUTRA,BRAHMAPUTRA RIVER,90,28.0,,,,,,3.21
ARAL_SEA,4,RGI13_CentralAsia,as,n,59.0,38.0,79.0,48.0,,,,AMU DARYA,AMU DARYA,68,42.0,,,,,,1.23
COPPER,5,RGI01_Alaska,ar,y,-149.0,60.0,-137.0,66.0,4102710.0,-144.7467,60.6711,COPPER RIVER,COPPER RIVER,-143,61.0,"MILLION DOLLAR BRIDGE NEAR CORDOVA, AK.",,-144.9332496,60.57479586,0.018868563814772057,20.01
GANGES,6,RGI15_SouthAsiaEast,as,n,72.0,21.0,99.0,32.0,,,,NAN,GANGES RIVER,82,25.0,,,,,,1.09
YUKON,7,RGI01_Alaska,ar,y,-164.0,58.0,-128.0,70.0,4103200.0,-162.8829,61.9337,YUKON RIVER,YUKON RIVER,-144,65.0,"PILOT STATION, AK",,-157.86080800000005,64.79910579,,1.15
ALSEK,8,RGI01_Alaska,ar,y,-140.0,58.0,-134.0,64.0,4102050.0,-138.0837,59.3947,ALSEK RIVER,ALSEK RIVER,-137,60.0,NEAR YAKUTAT,,-138.499303,59.21636615,0.0,19.76
SUSITNA,9,RGI01_Alaska,ar,y,-151.0,61.0,-145.0,67.0,4102820.0,-149.6934,62.7673,SUSITNA RIVER,SUSITNA RIVER,-149,62.0,"GOLD CREEK, AK",,-150.5059612,61.54474344,,8.7
BALKHASH,10,RGI13_CentralAsia,as,n,71.0,41.0,86.0,50.0,,,,NAN,NAN,78,45.0,,,,,,0.93
